"clusterAbbrev","clusterName","cellCount","medianExp","pctCellsExpressing","foldChange","pVal","pValAdj"
"C-TAL","Cortical Thick Ascending Limb Cell","4946","0.487","0.487","1.80514105549774","3.97942383896307e-221","NS"
"DCT1","Distal Convoluted Tubule Cell Type 1","139","0.698","0.698","1.35704985074356","2.36713332544441e-79","NS"
"M-TAL","Medullary Thick Ascending Limb Cell","434","0.283","0.283","0.935050745096698","4.03431406999309e-22","NS"
"EC-AEA","Afferent / Efferent Arteriole Endothelial Cell","516","NS","NS","NS","NS","NS"
"B","B Cell","533","NS","NS","NS","NS","NS"
"cDC","Classical Dendritic Cell","906","","NS","NS","NS","NS"
"CNT","Connecting Tubule Cell","257","","NS","NS","NS","NS"
"dCNT","Connecting Tubule Cell (<i>degenerative<sup>3</sup></i>)","1470","","NS","NS","NS","NS"
"CNT-IC-A","Connecting Tubule Intercalated Cell Type A","412","","NS","NS","NS","NS"
"CNT-PC","Connecting Tubule Principal Cell","67","","NS","NS","NS","NS"
"dCNT-PC","Connecting Tubule Principal Cell (<i>degenerative<sup>3</sup></i>)","229","","NS","NS","NS","NS"
"dC-TAL","Cortical Thick Ascending Limb Cell (<i>degenerative<sup>3</sup></i>)","1001","","NS","NS","NS","NS"
"T-CYT","Cytotoxic T Cell","479","NS","NS","NS","NS","NS"
"DTL1","Descending Thin Limb Cell Type 1","876","","NS","NS","NS","NS"
"dDCT","Distal Convoluted Tubule Cell (<i>degenerative<sup>3</sup></i>)","712","","NS","NS","NS","NS"
"cycEC","Endothelial Cell (<i>cycling<sup>2</sup></i>)","14","NS","NS","NS","NS","NS"
"cycEPI","Epithelial Cell (<i>cycling<sup>2</sup></i>)","166","","NS","NS","NS","NS"
"FIB","Fibroblast","219","NS","NS","NS","NS","NS"
"aFIB","Fibroblast (<i>adaptive / maladaptive / repairing<sup>1</sup></i>)","74","","NS","NS","NS","NS"
"EC-GC","Glomerular Capillary Endothelial Cell","178","","NS","NS","NS","NS"
"IC-A","Intercalated Cell Type A","494","","NS","NS","NS","NS"
"dIC-A","Intercalated Cell Type A (<i>degenerative<sup>3</sup></i>)","91","","NS","NS","NS","NS"
"IC-B","Intercalated Cell Type B","139","NS","NS","NS","NS","NS"
"EC-LYM","Lymphatic Endothelial Cell","45","NS","NS","NS","NS","NS"
"MAC-M2","M2-Macrophage","547","","NS","NS","NS","NS"
"MAST","Mast Cell","6","","NS","NS","NS","NS"
"MC","Mesangial Cell","43","","NS","NS","NS","NS"
"MON","Monocyte","731","NS","NS","NS","NS","NS"
"MDC","Monocyte-derived Cell","462","NS","NS","NS","NS","NS"
"cycMNP","Mononuclear Phagocyte (<i>cycling<sup>2</sup></i>)","143","NS","NS","NS","NS","NS"
"MyoF","Myofibroblast","30","","NS","NS","NS","NS"
"NK1","Natural Killer Cell Type 1","426","","NS","NS","NS","NS"
"NK2","Natural Killer Cell Type 2","93","","NS","NS","NS","NS"
"NKT","Natural Killer T Cell","889","","NS","NS","NS","NS"
"ncMON","Non-classical Monocyte","197","","NS","NS","NS","NS"
"PEC","Parietal Epithelial Cell","205","","NS","NS","NS","NS"
"EC-PTC","Peritubular Capillary Endothelial Cell","927","NS","NS","NS","NS","NS"
"dEC-PTC","Peritubular Capillary Endothelial Cell (<i>degenerative<sup>3</sup></i>)","75","NS","NS","NS","NS","NS"
"PL","Plasma Cell","286","NS","NS","NS","NS","NS"
"pDC","Plasmacytoid Dendritic Cell","146","NS","NS","NS","NS","NS"
"POD","Podocyte","44","","NS","NS","NS","NS"
"PC","Principal Cell","952","","NS","NS","NS","NS"
"dPC","Principal Cell (<i>degenerative<sup>3</sup></i>)","725","","NS","NS","NS","NS"
"tPC-IC","Principal-Intercalated Cell (<i>transitional<sup>4</sup></i>)","84","","NS","NS","NS","NS"
"aPT","Proximal Tubule Epithelial Cell (<i>adaptive / maladaptive / repairing<sup>1</sup></i>)","3226","","NS","NS","NS","NS"
"dPT","Proximal Tubule Epithelial Cell (<i>degenerative<sup>3</sup></i>)","3585","","NS","NS","NS","NS"
"dPT/DTL","Proximal Tubule Epithelial Cell / Descending Thin Limb Cell (<i>degenerative<sup>3</sup></i>)","1003","","NS","NS","NS","NS"
"PT-S1/S2","Proximal Tubule Epithelial Cell Segment 1 / Segment 2","217","","NS","NS","NS","NS"
"PT-S3","Proximal Tubule Epithelial Cell Segment 3","76","","NS","NS","NS","NS"
"T-REG","Regulatory T Cell","150","NS","NS","NS","NS","NS"
"REN","Renin-positive Juxtaglomerular Granular Cell","14","NS","NS","NS","NS","NS"
"T","T Cell","2007","","NS","NS","NS","NS"
"cycT","T Cell (<i>cycling<sup>2</sup></i>)","153","","NS","NS","NS","NS"
"aTAL1","Thick Ascending Limb Cell Cluster 1 (<i>adaptive / maladaptive / repairing<sup>1</sup></i>)","764","NS","NS","NS","NS","NS"
"aTAL2","Thick Ascending Limb Cell Cluster 2 (<i>adaptive / maladaptive / repairing<sup>1</sup></i>)","2508","","NS","NS","NS","NS"
"dVSMC","Vascular Smooth Muscle Cell (<i>degenerative<sup>3</sup></i>)","230","","NS","NS","NS","NS"
"VSMC/P","Vascular Smooth Muscle Cell / Pericyte","286","NS","NS","NS","NS","NS"